library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
pool1,mouse1-3_01_bin1,mouse1-3,1,1,230221,233777,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s1_b1_S1_R1_001.fastq.gz
pool1,mouse1-3_01_bin2,mouse1-3,2,1,230221,295030,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s1_b2_S2_R1_001.fastq.gz
pool1,mouse1-3_01_bin3,mouse1-3,3,1,230221,1639610,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s1_b3_S3_R1_001.fastq.gz
pool1,mouse1-3_01_bin4,mouse1-3,4,1,230221,4419778,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s1_b4_S4_R1_001.fastq.gz
pool1,mouse1-3_02_bin1,mouse1-3,1,2,230221,486969,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s2_b1_S5_R1_001.fastq.gz
pool1,mouse1-3_02_bin2,mouse1-3,2,2,230221,898382,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s2_b2_S6_R1_001.fastq.gz
pool1,mouse1-3_02_bin3,mouse1-3,3,2,230221,3537552,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s2_b3_S7_R1_001.fastq.gz
pool1,mouse1-3_02_bin4,mouse1-3,4,2,230221,1929006,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s2_b4_S8_R1_001.fastq.gz
pool1,mouse1-3_03_bin1,mouse1-3,1,3,230221,984160,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s3_b1_S9_R1_001.fastq.gz
pool1,mouse1-3_03_bin2,mouse1-3,2,3,230221,3096110,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s3_b2_S10_R1_001.fastq.gz
pool1,mouse1-3_03_bin3,mouse1-3,3,3,230221,1447976,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s3_b3_S11_R1_001.fastq.gz
pool1,mouse1-3_03_bin4,mouse1-3,4,3,230221,981244,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s3_b4_S12_R1_001.fastq.gz
pool1,mouse1-3_04_bin1,mouse1-3,1,4,230221,2748507,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s4_b1_S13_R1_001.fastq.gz
pool1,mouse1-3_04_bin2,mouse1-3,2,4,230221,2060844,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s4_b2_S14_R1_001.fastq.gz
pool1,mouse1-3_04_bin3,mouse1-3,3,4,230221,1369837,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s4_b3_S15_R1_001.fastq.gz
pool1,mouse1-3_04_bin4,mouse1-3,4,4,230221,1250,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s4_b4_S16_R1_001.fastq.gz
pool1,mouse1-3_05_bin1,mouse1-3,1,5,230221,5729250,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s9_b1_S33_R1_001.fastq.gz
pool1,mouse1-3_05_bin2,mouse1-3,2,5,230221,324286,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s9_b2_S34_R1_001.fastq.gz
pool1,mouse1-3_05_bin3,mouse1-3,3,5,230221,70,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s9_b3_S35_R1_001.fastq.gz
pool1,mouse1-3_05_bin4,mouse1-3,4,5,230221,8,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s9_b4_S36_R1_001.fastq.gz
pool1,mouse1-4_01_bin1,mouse1-4,1,1,230221,199399,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s5_b1_S17_R1_001.fastq.gz
pool1,mouse1-4_01_bin2,mouse1-4,2,1,230221,366573,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s5_b2_S18_R1_001.fastq.gz
pool1,mouse1-4_01_bin3,mouse1-4,3,1,230221,3244015,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s5_b3_S19_R1_001.fastq.gz
pool1,mouse1-4_01_bin4,mouse1-4,4,1,230221,2520585,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s5_b4_S20_R1_001.fastq.gz
pool1,mouse1-4_02_bin1,mouse1-4,1,2,230221,458607,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s6_b1_S21_R1_001.fastq.gz
pool1,mouse1-4_02_bin2,mouse1-4,2,2,230221,2533999,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s6_b2_S22_R1_001.fastq.gz
pool1,mouse1-4_02_bin3,mouse1-4,3,2,230221,2083993,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s6_b3_S23_R1_001.fastq.gz
pool1,mouse1-4_02_bin4,mouse1-4,4,2,230221,1213113,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s6_b4_S24_R1_001.fastq.gz
pool1,mouse1-4_03_bin1,mouse1-4,1,3,230221,2188231,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s7_b1_S25_R1_001.fastq.gz
pool1,mouse1-4_03_bin2,mouse1-4,2,3,230221,2928720,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s7_b2_S26_R1_001.fastq.gz
pool1,mouse1-4_03_bin3,mouse1-4,3,3,230221,1716947,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s7_b3_S27_R1_001.fastq.gz
pool1,mouse1-4_03_bin4,mouse1-4,4,3,230221,36698,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s7_b4_S28_R1_001.fastq.gz
pool1,mouse1-4_04_bin1,mouse1-4,1,4,230221,3979399,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s8_b1_S29_R1_001.fastq.gz
pool1,mouse1-4_04_bin2,mouse1-4,2,4,230221,1879869,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s8_b2_S30_R1_001.fastq.gz
pool1,mouse1-4_04_bin3,mouse1-4,3,4,230221,234863,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s8_b3_S31_R1_001.fastq.gz
pool1,mouse1-4_04_bin4,mouse1-4,4,4,230221,9,/shared/ngs/illumina/tstarr/230303_VH00699_273_AACKH3GM5/Unaligned/Project_tstarr/230221_s8_b4_S32_R1_001.fastq.gz
pool1,mouse1-5_01_bin1,mouse1-5,1,1,230223,146516,/shared/ngs/illumina/tstarr/230306_VH01189_73_AACKH7JM5/Unaligned/Project_tstarr/230223_s1_b1_S1_R1_001.fastq.gz
