library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib40_SARSr-DMS,tetra_01_bin1,tetra,1,1,220411,310616,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s1_b1_S1_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_01_bin2,tetra,2,1,220411,316212,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s1_b2_S2_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_01_bin3,tetra,3,1,220411,1849006,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s1_b3_S3_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_01_bin4,tetra,4,1,220411,6565988,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s1_b4_S4_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_02_bin1,tetra,1,2,220411,565906,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s2_b1_S5_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_02_bin2,tetra,2,2,220411,679780,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s2_b2_S6_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_02_bin3,tetra,3,2,220411,4045498,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s2_b3_S7_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_02_bin4,tetra,4,2,220411,3404528,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s2_b4_S8_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_03_bin1,tetra,1,3,220411,679033,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s3_b1_S9_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_03_bin2,tetra,2,3,220411,1997545,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s3_b2_S10_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_03_bin3,tetra,3,3,220411,7162429,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s3_b3_S11_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_03_bin4,tetra,4,3,220411,127841,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s3_b4_S12_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_04_bin1,tetra,1,4,220411,1606018,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s4_b1_S13_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_04_bin2,tetra,2,4,220411,6092377,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s4_b2_S14_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_04_bin3,tetra,3,4,220411,2343524,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s4_b3_S15_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_04_bin4,tetra,4,4,220411,465,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s4_b4_S16_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_05_bin1,tetra,1,5,220411,9056509,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b1_S65_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_05_bin2,tetra,2,5,220411,333996,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b2_S66_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_05_bin3,tetra,3,5,220411,336,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b3_S67_R1_001.fastq.gz
lib40_SARSr-DMS,tetra_05_bin4,tetra,4,5,220411,547,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b4_S68_R1_001.fastq.gz
lib40_SARSr-DMS,tri_01_bin1,tri,1,1,220411,365697,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s5_b1_S17_R1_001.fastq.gz
lib40_SARSr-DMS,tri_01_bin2,tri,2,1,220411,369174,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s5_b2_S18_R1_001.fastq.gz
lib40_SARSr-DMS,tri_01_bin3,tri,3,1,220411,1922370,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s5_b3_S19_R1_001.fastq.gz
lib40_SARSr-DMS,tri_01_bin4,tri,4,1,220411,6576159,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s5_b4_S20_R1_001.fastq.gz
lib40_SARSr-DMS,tri_02_bin1,tri,1,2,220411,695820,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s6_b1_S21_R1_001.fastq.gz
lib40_SARSr-DMS,tri_02_bin2,tri,2,2,220411,945042,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s6_b2_S22_R1_001.fastq.gz
lib40_SARSr-DMS,tri_02_bin3,tri,3,2,220411,4587908,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s6_b3_S23_R1_001.fastq.gz
lib40_SARSr-DMS,tri_02_bin4,tri,4,2,220411,2852677,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s6_b4_S24_R1_001.fastq.gz
lib40_SARSr-DMS,tri_03_bin1,tri,1,3,220411,902274,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s7_b1_S25_R1_001.fastq.gz
lib40_SARSr-DMS,tri_03_bin2,tri,2,3,220411,2713974,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s7_b2_S26_R1_001.fastq.gz
lib40_SARSr-DMS,tri_03_bin3,tri,3,3,220411,6308679,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s7_b3_S27_R1_001.fastq.gz
lib40_SARSr-DMS,tri_03_bin4,tri,4,3,220411,156293,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s7_b4_S28_R1_001.fastq.gz
lib40_SARSr-DMS,tri_04_bin1,tri,1,4,220411,2049588,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s8_b1_S29_R1_001.fastq.gz
lib40_SARSr-DMS,tri_04_bin2,tri,2,4,220411,5341828,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s8_b2_S30_R1_001.fastq.gz
lib40_SARSr-DMS,tri_04_bin3,tri,3,4,220411,1694063,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s8_b3_S31_R1_001.fastq.gz
lib40_SARSr-DMS,tri_04_bin4,tri,4,4,220411,408,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s8_b4_S32_R1_001.fastq.gz
lib40_SARSr-DMS,tri_05_bin1,tri,1,5,220411,9056509,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b1_S65_R1_001.fastq.gz
lib40_SARSr-DMS,tri_05_bin2,tri,2,5,220411,333996,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b2_S66_R1_001.fastq.gz
lib40_SARSr-DMS,tri_05_bin3,tri,3,5,220411,336,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b3_S67_R1_001.fastq.gz
lib40_SARSr-DMS,tri_05_bin4,tri,4,5,220411,547,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s17_b4_S68_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_01_bin1,SARS2mono,1,1,220411,257009,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s9_b1_S33_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_01_bin2,SARS2mono,2,1,220411,620454,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s9_b2_S34_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_01_bin3,SARS2mono,3,1,220411,2796515,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s9_b3_S35_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_01_bin4,SARS2mono,4,1,220411,5416819,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s9_b4_S36_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_02_bin1,SARS2mono,1,2,220411,605830,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s10_b1_S37_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_02_bin2,SARS2mono,2,2,220411,1351677,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s10_b2_S38_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_02_bin3,SARS2mono,3,2,220411,5819620,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s10_b3_S39_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_02_bin4,SARS2mono,4,2,220411,1393771,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s10_b4_S40_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_03_bin1,SARS2mono,1,3,220411,1222738,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s11_b1_S41_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_03_bin2,SARS2mono,2,3,220411,5332112,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s11_b2_S42_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_03_bin3,SARS2mono,3,3,220411,2496956,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s11_b3_S43_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_03_bin4,SARS2mono,4,3,220411,276812,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s11_b4_S44_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_04_bin1,SARS2mono,1,4,220411,4210921,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b1_S45_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_04_bin2,SARS2mono,2,4,220411,4743309,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b2_S46_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_04_bin3,SARS2mono,3,4,220411,1045744,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b3_S47_R1_001.fastq.gz
lib40_SARSr-DMS,SARS2mono_04_bin4,SARS2mono,4,4,220411,601,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s12_b4_S48_R1_001.fastq.gz
