library,target,variant_class,mouse1.3_AUC,sd_mouse1.3_AUC,n_bc_mouse1.3_AUC,mouse1.4_AUC,sd_mouse1.4_AUC,n_bc_mouse1.4_AUC,mouse1.5_AUC,sd_mouse1.5_AUC,n_bc_mouse1.5_AUC,mouse1.6_AUC,sd_mouse1.6_AUC,n_bc_mouse1.6_AUC,mouse2.3_AUC,sd_mouse2.3_AUC,n_bc_mouse2.3_AUC,mouse2.6_AUC,sd_mouse2.6_AUC,n_bc_mouse2.6_AUC,expr,delta_expr,mouse1.3_normAUC,mouse1.4_normAUC,mouse1.5_normAUC,mouse1.6_normAUC,mouse2.3_normAUC,mouse2.6_normAUC
pool1,AncSarbecovirus_MAP,wildtype,4.75411,0.35869,211,4.26088,0.30827,209,4.83961,0.41676,176,4.10158,0.34256,216,8.0313,0.31981,211,7.22306,0.32807,210,10.0621,-0.0889,4.83059,4.33533,4.89873,4.19057,8.11902,7.32528
pool1,AncSarbecovirus_alt,wildtype,4.82244,0.37951,109,3.29064,0.40206,104,4.50266,0.46627,87,4.07239,0.4104,108,7.26296,0.38188,96,6.97907,0.35723,103,10.161,0.01,4.81384,3.28226,4.49601,4.06238,7.25309,6.96757
pool1,AncSarbecovirus_alt1_ins117ins118,wildtype,4.80038,0.37118,126,4.31981,0.34842,119,4.77315,0.51661,109,4.13179,0.35661,118,8.0138,0.39598,115,7.2381,0.40579,117,10.1314,-0.0196,4.81724,4.33622,4.78619,4.15141,8.03314,7.26063
pool1,AncSarbecovirus_tree1,wildtype,4.76743,0.34913,249,3.20021,0.40977,253,4.46409,0.37066,217,4.09091,0.33518,242,8.04681,0.3083,242,7.24767,0.36955,244,10.0299,-0.1211,4.87161,3.30162,4.54461,4.21213,8.1663,7.3869
pool1,AncEurAf_alt,wildtype,4.93385,0.41035,236,3.65612,0.38122,230,4.64938,0.45407,186,4.18306,0.34144,216,7.49759,0.45139,220,7.05259,0.36632,228,10.1942,0.0432,4.89668,3.61995,4.62065,4.13982,7.45497,7.00292
pool1,AncEurAf_tree1,wildtype,4.82683,0.34787,214,3.34262,0.38566,220,4.53995,0.39329,190,4.17788,0.34982,208,8.11537,0.31092,218,7.34634,0.30247,219,10.151,0,4.82683,3.34262,4.53995,4.17788,8.11537,7.34634
pool1,BM48-31,wildtype,2.53966,0.35475,167,2.61398,0.32425,169,4.46487,0.36137,140,1.73038,0.30644,168,6.64407,0.30445,162,6.92099,0.30043,155,10.2394,0.0884,2.46361,2.53995,4.40609,1.6419,6.55684,6.81935
pool1,BB9904,wildtype,3.08468,0.37628,295,2.91064,0.34706,300,6.13368,0.35316,249,0.85663,0.27531,290,7.65126,0.32959,291,7.20808,0.28384,288,NA,NA,NA,NA,NA,NA,NA,NA
pool1,BtKY72,wildtype,4.84315,0.31047,217,3.67609,0.36288,220,4.46086,0.33216,190,3.402,0.38743,215,8.12709,0.31406,221,7.41156,0.30934,209,10.0994,-0.0516,4.88754,3.7193,4.49517,3.45365,8.178,7.47089
pool1,PRD-0038,wildtype,4.89707,0.31512,2855,3.55898,0.33934,2845,4.59836,0.38397,2340,3.8313,0.34678,2682,8.20048,0.25852,2664,7.92286,0.29525,2624,NA,NA,NA,NA,NA,NA,NA,NA
pool1,PDF-2370,wildtype,4.85816,0.27906,186,3.59711,0.32835,183,4.52228,0.36987,162,3.60612,0.35053,180,8.09349,0.27092,172,7.42322,0.27783,177,NA,NA,NA,NA,NA,NA,NA,NA
pool1,Khosta-1,wildtype,4.84715,0.37088,212,3.21936,0.38869,218,4.52824,0.4001,192,2.32341,0.32527,206,8.07999,0.3123,206,7.3552,0.33458,202,NA,NA,NA,NA,NA,NA,NA,NA
pool1,Khosta-2,wildtype,2.0378,0.27752,334,2.54411,0.27755,334,1.861,0.35339,300,1.6651,0.28437,325,6.58321,0.28041,328,6.26432,0.29292,333,NA,NA,NA,NA,NA,NA,NA,NA
pool1,RhGB01,wildtype,4.49934,0.26745,311,5.12601,0.32338,305,3.74355,0.41117,274,1.44403,0.33291,308,6.91302,0.29234,298,6.68827,0.28195,302,NA,NA,NA,NA,NA,NA,NA,NA
pool1,RsYN04,wildtype,3.80385,0.33738,230,2.9377,0.34098,225,4.34555,0.34212,190,2.31675,0.30818,224,6.78603,0.28916,214,6.59945,0.27973,217,NA,NA,NA,NA,NA,NA,NA,NA
pool1,AncAsia_MAP,wildtype,6.74139,0.32611,228,5.75513,0.38289,217,6.0451,0.44629,194,7.12865,0.35604,227,6.94633,0.40434,211,6.45792,0.3856,225,10.1137,-0.0373,6.77348,5.78636,6.0699,7.16598,6.98314,6.5008
pool1,AncAsia_alt,wildtype,4.5785,0.34913,191,4.41765,0.3293,186,5.25015,0.41797,161,4.49251,0.33712,190,5.89647,0.41377,189,6.35441,0.34505,184,9.8702,-0.2808,4.82007,4.6528,5.43687,4.77359,6.17353,6.67726
pool1,AncAsia_tree1,wildtype,6.40797,0.33065,118,4.61812,0.3911,116,5.80895,0.4048,96,6.47675,0.31894,117,6.98852,0.39779,115,6.51592,0.39216,114,9.9809,-0.1701,6.5543,4.76057,5.92206,6.64702,7.15636,6.7115
pool1,AncAsia_tree2,wildtype,6.82564,0.33618,197,5.79676,0.39831,206,6.0158,0.4617,168,6.56092,0.32882,202,7.14701,0.33702,194,6.68924,0.30218,196,10.1478,-0.0032,6.82839,5.79944,6.01793,6.56413,7.15017,6.69292
pool1,AncSARS2a_MAP,wildtype,8.00342,0.31219,285,6.71665,0.26116,280,6.91665,0.49422,207,8.08624,0.29631,278,7.04717,0.3363,270,6.5287,0.33869,288,10.2742,0.1232,7.89744,6.61348,6.83472,7.96292,6.92561,6.38704
pool1,AncSARS2a_alt,wildtype,4.9887,0.38183,140,4.66803,0.35134,140,5.65349,0.38306,116,5.82673,0.37759,141,6.31516,0.3496,135,5.64604,0.36641,138,8.8719,-1.2791,6.08909,5.73918,6.50403,7.1071,7.57725,7.1167
pool1,AncSARS2c_MAP,wildtype,8.09728,0.34675,297,6.84847,0.30225,297,7.08592,0.47201,215,8.06856,0.34038,312,6.12642,0.39806,286,6.41943,0.37295,304,10.2076,0.0566,8.04858,6.80107,7.04828,8.0119,6.07057,6.35435
pool1,SARS-CoV-2_WH1,wildtype,8.14853,0.22059,8899,6.96027,0.20976,8794,6.84348,0.41607,5987,8.08139,0.23155,7704,6.3819,0.30705,7576,6.12838,0.32565,7823,10.162,0.011,8.13906,6.95106,6.83616,8.07038,6.37104,6.11573
pool1,SARS-CoV-2_Alpha,wildtype,8.07505,0.32264,340,6.96343,0.29329,330,6.88297,0.47845,224,8.01625,0.33594,338,6.60457,0.33684,315,6.34418,0.34649,323,NA,NA,NA,NA,NA,NA,NA,NA
pool1,SARS-CoV-2_Beta,wildtype,7.55221,0.384,232,6.75904,0.30437,228,6.49822,0.51866,167,7.11216,0.34699,214,6.59721,0.37381,212,6.4126,0.38333,222,NA,NA,NA,NA,NA,NA,NA,NA
pool1,SARS-CoV-2_Delta,wildtype,8.06201,0.29137,251,6.69021,0.28892,233,6.60608,0.48485,180,7.93908,0.30365,226,6.60055,0.29506,229,6.3996,0.34716,232,NA,NA,NA,NA,NA,NA,NA,NA
pool1,SARS-CoV-2_BA2,wildtype,6.42466,0.39127,739,4.27766,0.37142,681,6.04748,0.45224,424,6.15162,0.43177,577,5.97772,0.44384,534,5.59305,0.42649,556,NA,NA,NA,NA,NA,NA,NA,NA
pool1,BANAL-20-103,wildtype,8.13128,0.23904,228,6.86306,0.27679,240,6.99167,0.47304,167,8.07315,0.28159,230,6.22052,0.31936,222,6.49278,0.33906,235,NA,NA,NA,NA,NA,NA,NA,NA
pool1,BANAL-20-236,wildtype,7.22265,0.28578,253,6.88747,0.26924,248,6.6552,0.42769,191,7.75422,0.32689,258,6.30923,0.35674,242,6.48493,0.32327,251,NA,NA,NA,NA,NA,NA,NA,NA
pool1,RaTG13,wildtype,5.43048,0.38846,305,4.91053,0.38738,296,5.67844,0.43941,248,6.4086,0.36361,299,5.92145,0.40385,286,6.32879,0.36874,300,10.0628,-0.0882,5.50636,4.98439,5.73708,6.49688,6.00848,6.4302
pool1,GD-Pangolin,wildtype,8.1031,0.32405,285,6.73217,0.29739,270,7.0579,0.47962,197,8.07989,0.32764,289,6.01241,0.39658,270,6.32884,0.37314,270,10.1764,0.0254,8.08125,6.7109,7.04101,8.05447,5.98735,6.29963
pool1,GX-Pangolin,wildtype,4.94824,0.31627,174,4.64893,0.31545,167,5.9413,0.38469,146,6.55722,0.26307,173,6.65105,0.27467,158,6.43983,0.29791,165,10.2031,0.0521,4.90341,4.6053,5.90665,6.50507,6.59964,6.37993
pool1,RshSTT182,wildtype,5.97574,0.32612,190,5.27356,0.33708,192,6.03984,0.37496,169,6.56146,0.29835,188,6.37217,0.3502,190,6.68717,0.32596,187,NA,NA,NA,NA,NA,NA,NA,NA
pool1,Rc-o319,wildtype,4.43172,0.31963,168,3.56389,0.37434,168,5.12896,0.40983,153,6.45353,0.29811,165,6.33057,0.35127,167,6.03372,0.38914,164,NA,NA,NA,NA,NA,NA,NA,NA
pool1,AncSARS1a_MAP,wildtype,4.69543,0.29015,310,4.02417,0.29368,306,4.30576,0.38629,261,4.52257,0.34828,306,6.04676,0.37804,304,6.2502,0.34977,302,9.9723,-0.1787,4.84916,4.17382,4.42459,4.70145,6.22309,6.45566
pool1,AncSARS1a_alt,wildtype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pool1,AncSARS1a_tree1,wildtype,4.7692,0.38292,117,3.99366,0.37006,114,4.27203,0.43513,105,4.56955,0.35376,113,6.3589,0.39336,114,6.47916,0.35518,107,10.0694,-0.0816,4.8394,4.06199,4.32629,4.65123,6.43942,6.57298
pool1,AncSARS1a_tree2,wildtype,4.74662,0.33266,292,4.10233,0.32288,275,4.41832,0.36165,247,4.95729,0.34868,285,6.25694,0.37172,278,6.36885,0.34837,277,10.2651,0.1141,4.64846,4.00678,4.34245,4.84308,6.14436,6.23766
pool1,AncSARS1c_MAP,wildtype,4.6846,0.30813,84,3.80395,0.34733,96,4.34241,0.3627,80,4.27677,0.28779,86,6.13222,0.3613,82,6.10437,0.38216,87,10.2463,0.0953,4.60261,3.72414,4.27904,4.18137,6.03818,5.9948
pool1,AncSARS-CoV-1_MAP,wildtype,4.73473,0.41827,114,3.83151,0.40098,114,4.37898,0.40492,95,4.41935,0.35266,114,6.38305,0.44632,111,6.23719,0.43261,115,10.2049,0.0539,4.68837,3.78637,4.34314,4.36539,6.32987,6.17521
pool1,AncSARS-CoV-1_alt,wildtype,4.67771,0.35778,232,3.83365,0.34944,228,4.36642,0.38665,187,4.42815,0.35227,228,6.38166,0.38504,222,6.26386,0.37387,234,10.1665,0.0155,4.66437,3.82067,4.35612,4.41264,6.36637,6.24604
pool1,SARS-CoV-1_Sin852_HP03L,wildtype,4.12499,0.35052,250,3.07032,0.38335,245,4.38368,0.38467,209,2.33405,0.3415,246,5.84669,0.39773,232,5.97984,0.35513,233,9.8641,-0.2869,4.3718,3.31058,4.57445,2.62124,6.12977,6.30971
